Project Name,Queue Position,Interconnection Request Receive Date,Application Status,Study Process,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,MWh-1,MWh-2,MWh-3,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,Proposed On-line Date (as filed with IR),Current On-line Date,Suspension Status,Feasibility Study or Supplemental Review,System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),Interconnection Agreement Status,clean substation name,Best GIS Substation Match,GIS Lat,GIS Long,STATEFP,COUNTYFP,Transmission Capacity,Permit Status,Retired Plant Inverse Distance,Future Transmission Inverse Distance,Display Name,Line_Name,Min_Dist,Cap_MW,Load_Pct,Remain_MW
LECONTE ENERGY STORAGE,1175,4/29/2015,ACTIVE,C08,Storage,,,Battery,,,125.0,,,125.0,,,,Partial Capacity,18.0,,Group 4a,imperial,CA,SDGE,,Imperial Valley Substation 230 kV,9/1/2018,6/1/2026,,,Complete,Complete,,Executed,Imperial Valley,Imperial Valley,32.85615594,-115.5637445,6.0,25.0,2224.100047123985,0,0.1399886599937234,,LECONTE ENERGY STORAGE : Imperial Valley Substation 230 kV,IID 34.5kV,0.008486190388329507,66,94,4
CRIMSON,1192,4/29/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,359.6,365.0,,350.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Colorado River Substation 230kV,12/31/2020,6/30/2023,,,Complete,Complete,,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6.0,65.0,1048.77090324242,0,0.0106184422255897,,CRIMSON : Colorado River Substation 230kV,SCE 500kV,0.07347741070573015,209490,98,4190
ARLINGTON,1196,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,409.9,296.0,,400.0,,,,Partial Capacity,78.6,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Colorado River Substation 230kV,7/1/2021,9/1/2023,,,Complete,Complete,,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6.0,65.0,1418.5229648381987,1,0.0106184422255897,,ARLINGTON : Colorado River Substation 230kV,SCE 500kV,0.07347741070573015,209490,98,4190
QUARTZITE SOLAR 8,1198,4/28/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,150.0,75.0,,150.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Colorado River Substation 220kV,12/1/2020,12/21/2024,,,Complete,Complete,,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6.0,65.0,2424.592001804829,0,0.0106184422255897,,QUARTZITE SOLAR 8 : Colorado River Substation 220kV,SCE 500kV,0.07347741070573015,209490,98,4190
VICTORY PASS SOLAR,1200,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,200.0,50.0,,200.0,,,,Partial Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,12/31/2018,3/1/2024,,,Complete,Complete,,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6.0,65.0,473.8099862210217,0,0.0352159668125485,,VICTORY PASS SOLAR : Red Bluff Substation 230kV,SCE 220kV,790.3262315055138,3311,76,795
ARATINA SOLAR CENTER 1,1204,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,200.0,200.0,,200.0,,,,Partial Capacity,19.0,Off-Peak Deliverability,Group A,san bernardino,CA,SCE,NOL,Kramer Substation 230kV,6/1/2020,12/27/2023,,,Complete,Complete,,Executed,Kramer,Kramer,34.98947998,-117.542396,6.0,71.0,450.8188410401656,0,0.4413035809044927,0.017957980691558,ARATINA SOLAR CENTER 1 : Kramer Substation 230kV,SCE 115kV,0.0014802829550712457,4686,97,141
SIENNA SOLAR FARM,1207,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,200.0,200.0,,200.0,,,,Partial Capacity,93.0,Off-Peak Deliverability,Group D,san bernardino,CA,SCE,NOL,Calcite Substation 230kV,6/1/2020,1/28/2027,,,Complete,Complete,,Executed,Calcite,,34.16749882976468,-117.3688880216656,6.0,71.0,2461.0812712598927,0,0.1652109169049334,0.0677751806131282,SIENNA SOLAR FARM : Calcite Substation 230kV,SCE 115kV,0.20352509499155316,585,42,339
ANTELOPE SOLAR 2,1208,4/30/2015,ACTIVE,C08,Storage,Photovoltaic,,Battery,Solar,,358.88,423.0,,650.0,,,,Full Capacity,,Off-Peak Deliverability,,los angeles,CA,SCE,Northern,Antelope Substation 220kV,12/31/2018,4/1/2025,,,Complete,Complete,,Executed,Antelope,Antelope,35.6579012,-119.9964345,6.0,37.0,1216.2200384127725,0,0.0179642428096938,,ANTELOPE SOLAR 2 : Antelope Substation 220kV,SCE 500kV,56.77829369624932,1712,67,565
ROSAMOND SOUTH EAST,1211,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,101.7,94.0,,101.7,,,,Partial Capacity,51.98,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,6/30/2018,10/30/2024,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,718.2327113883618,1,0.0453243202783785,0.0205694842514983,ROSAMOND SOUTH EAST : Whirlwind Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
GOLDEN FIELDS SOLAR,1212,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,101.7,95.0,,101.7,,,,Partial Capacity,52.24,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,6/30/2018,10/30/2024,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,1845.1223368209887,1,0.0453243202783785,0.0205694842514983,GOLDEN FIELDS SOLAR : Whirlwind Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
RABBITBRUSH SOLAR,1215,4/28/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,100.0,70.0,,150.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,12/31/2019,3/18/2024,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,889.3324470024664,1,0.0453243202783785,0.0205694842514983,RABBITBRUSH SOLAR : Whirlwind Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
WILLOW SPRINGS SOLAR 4,1217,4/28/2015,ACTIVE,C08,Storage,,,Battery,,,75.0,,,75.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,12/31/2019,4/30/2024,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,1477.2830594506136,1,0.0453243202783785,0.0205694842514983,WILLOW SPRINGS SOLAR 4 : Whirlwind Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
DAYLIGHT,1223,4/22/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,310.707,300.0,,300.0,,,,Energy Only,,Off-Peak Deliverability,,kings,CA,PGAE,Fresno,Mustang 230 kV,12/31/2020,1/19/2028,,,Complete,Complete,,Executed,,,36.25295333912554,-119.72156257076144,6.0,31.0,2485.0787438358584,1,0.1466739509696909,0.0611956683200179,DAYLIGHT : Mustang 230 kV,PG&E 60kV,1.4122818686643943,221,41,130
MEDEIROS SOLAR,1239,5/3/2016,ACTIVE,C09,Photovoltaic,,,Solar,,,28.35,,,26.5,,,,Energy Only,,Off-Peak Deliverability,,merced,CA,PGAE,Fresno,Los Banos-O'Neil PGP 70 kV Line,8/1/2019,12/31/2026,,,Complete,Complete,,Executed,,,37.29622056948563,-120.62431536058668,6.0,47.0,2736.686072781532,0,0.1373812437769992,0.0520544660781496,MEDEIROS SOLAR : Los Banos-O'Neil PGP 70 kV Line,PG&E 115kV,0.7912354016826806,702,80,140
PLUOT,1242,5/3/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,254.0,225.0,,246.4,,,,Full Capacity,,Off-Peak Deliverability,Group B,kings,CA,PGAE,Fresno,Gates 230 kV,4/5/2023,3/8/2024,,,Complete,Complete,,Executed,,,36.25120734797797,-119.71138235597417,6.0,31.0,901.5251527675348,1,0.1664386011922097,0.0580080920461454,PLUOT : Gates 230 kV,PG&E 60kV,1.236132993006138,221,41,130
POMEGRANATE,1243,5/3/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,254.0,225.0,,249.7,,,,Full Capacity,,Off-Peak Deliverability,Group A,kings,CA,PGAE,Fresno,Gates 230 kV,4/6/2022,3/8/2024,,,Complete,Complete,,Executed,,,36.23478448798805,-119.72318753191604,6.0,31.0,2574.6066468322515,0,0.1290939423581023,0.0618408733356788,POMEGRANATE : Gates 230 kV,PG&E 60kV,0.6184884243374907,221,41,130
PROXIMA SOLAR,1244,4/30/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,189.74,162.0,,300.0,,,,Partial Capacity,,Off-Peak Deliverability,,stanislaus,CA,PGAE,Fresno,Fink 230 kV,3/10/2020,4/9/2024,,,Complete,Complete,,Executed,,,37.60149266192408,-120.94738790846375,6.0,99.0,1617.464894843105,0,0.0679074809507692,0.0495843373139579,PROXIMA SOLAR : Fink 230 kV,TID 69kV,0.8463400043896723,585,49,298
NORTHERN ORCHARD SOLAR 2,1259,4/27/2016,ACTIVE,C09,Photovoltaic,,,Solar,,,133.6,,,50.0,,,,Energy Only,,Off-Peak Deliverability,Group B,kern,CA,PGAE,Kern,Midway-Wheeler Ridge #2 230 kV Line,12/16/2020,3/31/2024,,,Complete,Complete,,In Progress,,,35.347822384026706,-118.96322459588497,6.0,29.0,946.8145462410632,1,0.1237473991449756,0.0842265753711108,NORTHERN ORCHARD SOLAR 2 : Midway-Wheeler Ridge #2 230 kV Line,PG&E 115kV,0.4045346419582331,2455,50,1228
NORTHERN ORCHARD SOLAR 3,1260,4/27/2016,ACTIVE,C09,Photovoltaic,,,Solar,,,102.0,,,100.0,,,,Energy Only,,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Midway-Wheeler Ridge #2 230 kV Line,10/14/2020,10/1/2027,,,Complete,Complete,,In Progress,,,35.36935119525668,-118.96181176577312,6.0,29.0,332.8902719059096,0,0.1757045493560462,0.104409190381641,NORTHERN ORCHARD SOLAR 3 : Midway-Wheeler Ridge #2 230 kV Line,PG&E 115kV,1.7306466649107806,2455,50,1228
CORBY,1270,4/27/2016,ACTIVE,C09,Storage,,,Battery,,,313.5,,,300.0,,,,Full Capacity,,,,solano,CA,PGAE,Northern,Vaca-Dixon 230 kV,12/1/2020,3/29/2024,,,Complete,Complete,,Executed,,,38.21297347200184,-122.05559472256348,6.0,95.0,2474.9214551379378,0,0.0506462799290919,0.05277298740999,CORBY : Vaca-Dixon 230 kV,PG&E 115kV,1.9692666183192136,298,65,104
CASCADE ENERGY STORAGE,1272,5/2/2016,ACTIVE,C09,Storage,,,Battery,,,25.2,,,25.0,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Weber 60 kV,5/31/2018,12/1/2022,,,Complete,Complete,,Executed,,,37.93500137238733,-121.32119390442712,6.0,77.0,1025.7023031316044,1,1.0524592563780002,0.1370868980738903,CASCADE ENERGY STORAGE : Weber 60 kV,PG&E 60kV,0.5261606813461575,2704,36,1731
KOLA,1275,4/26/2016,ACTIVE,C09,Storage,,,Battery,,,418.0,,,418.0,,,,Full Capacity,,,,alameda,CA,PGAE,Northern,Tesla 230 kV,12/1/2020,4/1/2025,,,Complete,Complete,,Executed,,,37.693684007583705,-122.0882673567934,6.0,1.0,1031.961638947278,1,0.0427126707081947,0.1245912339946264,KOLA : Tesla 230 kV,PG&E 60kV,0.04125567352784378,1470,84,235
MULQUEENEY RANCH WIND,1277,5/2/2016,ACTIVE,C09,Wind Turbine,,,Wind Turbine,,,114.0,,,20.0,,,,Full Capacity,,Off-Peak Deliverability,,alameda,CA,PGAE,Northern,Tesla 230 kV,3/1/2020,11/30/2024,,,Complete,Complete,,Executed,,,37.71970555572824,-122.08901741481256,6.0,1.0,2719.3145959923745,0,0.0395340902046696,0.0926038110638449,MULQUEENEY RANCH WIND : Tesla 230 kV,PG&E 60kV,2.0373803751362534,1470,84,235
MARVEL,1295,4/26/2016,ACTIVE,C09,Storage,,,Battery,,,405.85,,,400.0,,,,Full Capacity,,,,riverside,CA,SCE,Eastern,Devers Substation 230kV,4/1/2022,9/26/2023,,,Complete,Complete,,Executed,Devers,Devers,33.93691612,-116.5773269,6.0,65.0,638.6513253928326,0,1.1957785203972957,,MARVEL : Devers Substation 230kV,SCE 220kV,0.1027636687347591,223041,96,8922
SOL CATCHER BESS,1302,5/3/2016,ACTIVE,C09,Storage,Photovoltaic,,Battery,Solar,,121.0,213.5,,213.5,,,,Partial Capacity,,Off-Peak Energy Only,,riverside,CA,SCE,Eastern,Red Bluff 220 kV,5/31/2019,3/1/2024,,,Complete,Complete,,Executed,,,33.80911362392442,-117.06689339454446,6.0,65.0,2065.049882390976,1,0.0813040731357591,0.030297540607802,SOL CATCHER BESS : Red Bluff 220 kV,SCE 500kV,1.5989797532063423,4756,59,1950
DAGGETT SOLAR 1,1312,4/28/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,148.96,118.5,,144.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Coolwater Substation 115kV,6/30/2020,12/15/2024,,,Complete,Complete,,Executed,Cool Water,Cool Water,34.86311202,-116.854207,6.0,71.0,1204.2787484066364,1,2.8986517529841187,,DAGGETT SOLAR 1 : Coolwater Substation 115kV,SCE 33kV,0.0013984166888327903,256,30,179
DAGGETT SOLAR 2,1313,4/28/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,188.86,126.0,,182.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Kramer Substation 230kV,6/30/2020,8/6/2023,,,Complete,Complete,,Executed,Kramer,Kramer,34.98947998,-117.542396,6.0,71.0,2154.988812267666,1,0.4413035809044927,0.017957980691558,DAGGETT SOLAR 2 : Kramer Substation 230kV,SCE 115kV,0.0014802829550712457,4686,97,141
DAGGETT SOLAR 3,1314,4/28/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,313.88,208.0,,300.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Kramer Substation 230kV,6/30/2020,8/6/2023,,,Complete,Complete,,Executed,Kramer,Kramer,34.98947998,-117.542396,6.0,71.0,453.3588064577458,0,0.4413035809044927,0.017957980691558,DAGGETT SOLAR 3 : Kramer Substation 230kV,SCE 115kV,0.0014802829550712457,4686,97,141
WILLY 9,1319,4/25/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,259.842,250.0,,250.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,12/31/2020,3/18/2024,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,987.9437355352125,0,0.0453243202783785,0.0205694842514983,WILLY 9 : Whirlwind Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
SOLAR STAR 3,1322,4/25/2016,ACTIVE,C09,Storage,Photovoltaic,,Battery,Solar,,24.95,25.0,,24.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,12/31/2021,11/30/2024,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,416.26041763038165,0,0.0453243202783785,0.0205694842514983,SOLAR STAR 3 : Whirlwind Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
SOLAR STAR 4,1323,4/25/2016,ACTIVE,C09,Storage,Photovoltaic,,Battery,Solar,,24.95,25.05,,24.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,12/31/2021,11/30/2024,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,833.1598619144759,1,0.0453243202783785,0.0205694842514983,SOLAR STAR 4 : Whirlwind Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
EDSAN 1,1324,4/27/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,118.0,266.0,,300.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Windhub Substation 230kV,12/31/2019,8/17/2023,,,Complete,Complete,,Executed,Windhub,Windhub,35.03484956,-118.2806898,6.0,29.0,2567.7770305677977,0,1.0502584294611754,0.0157319769305161,EDSAN 1 : Windhub Substation 230kV,SCE 500kV,0.10357645386999763,11916,87,1549
SAGEBRUSH SOLAR 2,1325,4/27/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,1.0,199.0,,179.0,,,,Partial Capacity,90.0,Off-Peak Deliverability,Group A,kern,CA,SCE,Northern,Vincent Substation 230kV,12/31/2019,7/1/2024,,,Complete,Complete,,Executed,Vincent,Vincent,34.48596597,-118.1184808,6.0,29.0,2457.325782150205,0,0.036561270718278,0.023316840873773,SAGEBRUSH SOLAR 2 : Vincent Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,3.3413968528936607e-06,0,69,0
CYCLONE SOLAR,1327,4/29/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,57.95,52.0,,56.87,,,,Partial Capacity,51.24,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,7/1/2019,11/1/2024,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,1101.7292869212015,1,0.0453243202783785,0.0205694842514983,CYCLONE SOLAR : Whirlwind Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
PASTORIA SOLAR,1335,5/2/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,106.875,80.0,,105.2,,,,Partial Capacity,77.0,Off-Peak Deliverability,,kern,CA,SCE,Northern,Pastoria Substation 230kV,9/1/2019,10/1/2024,,,Complete,Complete,,Executed,Pastoria,Pastoria,34.93527777,-118.8431278,6.0,29.0,640.3835467790743,0,0.0226112796689247,0.0478040998416163,PASTORIA SOLAR : Pastoria Substation 230kV,SCE 220kV,0.017120836401970898,1243,77,286
ARAMIS POWER PLANT,1349,4/28/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,101.4,101.3,,100.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2,alameda,CA,PGAE,Northern,Cayetano 230 kV,12/31/2020,12/31/2025,,,Complete,Complete,,Executed,,,37.69146182206492,-122.08077469246564,6.0,1.0,376.1584818829164,1,0.042728465279462,0.1245741072207008,ARAMIS POWER PLANT : Cayetano 230 kV,PG&E 60kV,0.5766314278184451,1470,84,235
PAULSELL SOLAR ENERGY CENTER,1350,5/1/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,20.0,20.0,,20.0,,,,Partial Capacity,70.0,Off-Peak Deliverability,,stanislaus,CA,PGAE,Northern,Crow Creek 60 kV,12/31/2019,5/10/2024,,,Complete,Complete,,Executed,,,37.61769680929514,-120.97583871499164,6.0,99.0,346.15658130121165,1,0.0569627715684931,0.0485764558851797,PAULSELL SOLAR ENERGY CENTER : Crow Creek 60 kV,TID 69kV,0.9127816724363887,2263,36,1448
SAND HILL C,1363,4/29/2017,ACTIVE,C10,Wind Turbine,,,Wind Turbine,,,84.25,,,80.8,,,,Full Capacity,,Off-Peak Deliverability,,alameda,CA,PGAE,Northern,Delta Switching Yard-Tesla 230 kV Line,12/31/2019,4/28/2025,,,Complete,Complete,,Executed,,,37.68866862366068,-122.10375441992386,6.0,1.0,2560.980557955602,1,0.0445055283533444,0.1396471260975822,SAND HILL C : Delta Switching Yard-Tesla 230 kV Line,PG&E 60kV,0.08307612708714542,1767,58,742
WEST FORD FLAT ENERGY STORAGE,1367,4/28/2017,ACTIVE,C10,Storage,,,Battery,,,26.25,,,25.0,,,,Full Capacity,,,,lake,CA,PGAE,Northern,Fulton 230 kV,1/1/2020,3/15/2024,,,Complete,Complete,,Executed,,,38.95834810780932,-122.72530177441102,6.0,33.0,1548.5379392408297,1,0.0543835307529691,0.0641738484645602,WEST FORD FLAT ENERGY STORAGE : Fulton 230 kV,PG&E 60kV,3.188317439538647,240,92,19
GONZAGA WIND FARM,1378,4/27/2017,ACTIVE,C10,Wind Turbine,Storage,,Wind Turbine,Battery,,80.0,50.0,,76.35,,,,Full Capacity,,Off-Peak Deliverability,Group 2,merced,CA,PGAE,Fresno,Los Banos 70 kV,10/9/2020,10/16/2023,,,Complete,Complete,,Executed,,,37.28402496158725,-120.6222810999427,6.0,47.0,210.1371993486945,0,0.1156898044518738,0.0524709231710998,GONZAGA WIND FARM : Los Banos 70 kV,PG&E 115kV,0.9936700012294641,702,80,140
HEARTLAND 1,1379,4/26/2017,ACTIVE,C10,Photovoltaic,,,Solar,,,156.04,,,150.0,,,,Energy Only,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Tranquility 230 kV,9/1/2021,6/30/2028,,,Complete,Complete,,Executed,,,36.76072984781677,-119.79028688902686,6.0,19.0,1103.4524930637049,1,0.0178381006855088,0.066663527511152,HEARTLAND 1 : Tranquility 230 kV,PG&E 115kV,2.8814889047818197,1739,57,748
HEARTLAND 2,1380,4/26/2017,ACTIVE,C10,Photovoltaic,,,Solar,,,156.05,,,150.0,,,,Energy Only,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Tranquility 230 kV,9/1/2021,6/30/2028,,,Complete,Complete,,Executed,,,36.753612593951765,-119.7516888962044,6.0,19.0,202.76390718159325,0,0.0183145322080764,0.0567999260713194,HEARTLAND 2 : Tranquility 230 kV,PG&E 115kV,1.8258195406230502,1739,57,748
LAS CAMAS 1,1382,4/29/2017,ACTIVE,C10,Photovoltaic,,,Solar,,,102.5,,,100.0,,,,Full Capacity,,Off-Peak Energy Only,Group D,merced,CA,PGAE,Fresno,Los Banos 230 kV,11/30/2021,5/7/2025,,,Complete,Complete,,Executed,,,37.282358723483526,-120.60682190338196,6.0,47.0,2450.0907364990976,1,0.1108039045343472,0.0564817401312153,LAS CAMAS 1 : Los Banos 230 kV,PG&E 115kV,1.022514950235586,702,80,140
REDUX SOLAR,1389,5/1/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,128.24,30.0,,125.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2b,fresno,CA,PGAE,Fresno,Gates 230 kV,12/30/2020,12/15/2024,,,Complete,Complete,,Executed,,,36.72015922353605,-119.77502549603162,6.0,19.0,2903.6128007528987,1,0.019470962409799,0.0524522382604901,REDUX SOLAR : Gates 230 kV,PG&E 60kV,0.6681356343823759,1670,78,367
SONRISA,1391,4/29/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,205.1,184.0,,200.0,,,,Partial Capacity,46.0,Off-Peak Deliverability,Group 1,fresno,CA,PGAE,Fresno,Tranquility 230 kV,11/30/2021,12/31/2025,,,Complete,Complete,,Executed,,,36.76725475825805,-119.77289350258286,6.0,19.0,982.95732101259,0,0.0177180017727195,0.0631525191497063,SONRISA : Tranquility 230 kV,PG&E 115kV,1.5862010390185162,1739,57,748
DRIFTWOOD STELLA,1394,4/29/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,207.4,184.0,,200.0,,,,Energy Only,,Off-Peak Deliverability,Group D,kern,CA,PGAE,Kern,Midway 115 kV,11/30/2021,11/1/2026,,,Complete,Complete,,Executed,,,35.390096737272074,-118.93145190565394,6.0,29.0,705.1736081948038,0,0.2215585664588649,0.1144502542570345,DRIFTWOOD STELLA : Midway 115 kV,PG&E 115kV,0.6200335395721035,2921,100,0
SANDRINI SOL 1,1397,4/29/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,104.16,92.0,,100.0,,,,Partial Capacity,62.0,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Wheeler Ridge 70 kV,11/30/2021,12/31/2025,,,Complete,Complete,,Executed,,,35.37658509795232,-118.94079102536531,6.0,29.0,1470.044034501688,1,0.1875267164575757,0.1047995858231341,SANDRINI SOL 1 : Wheeler Ridge 70 kV,PG&E 115kV,1.4705087689404504,2921,100,0
SANDRINI SOL 2,1398,4/29/2017,ACTIVE,C10,Photovoltaic,,,Solar,,,205.1,,,200.0,,,,Full Capacity,,Off-Peak Deliverability,Group 1,kern,CA,PGAE,Kern,Wheeler Ridge 230 kV,11/30/2021,7/15/2024,,,Complete,Complete,,Executed,,,35.38562681920978,-118.96369753931307,6.0,29.0,2090.610392977638,0,0.2579213427249275,0.1282719472236192,SANDRINI SOL 2 : Wheeler Ridge 230 kV,PG&E 70kV,1.3164661757284999,888,60,355
ATHOS POWER PLANT,1405,4/28/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,458.0,450.0,,450.0,,,,Partial Capacity,10.6,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,12/31/2020,5/1/2025,,,Complete,Complete,,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6.0,65.0,624.67559026146,0,0.0352159668125485,,ATHOS POWER PLANT : Red Bluff Substation 230kV,SCE 220kV,790.3262315055138,3311,76,795
BALDY MESA,1413,4/29/2017,ACTIVE,C10,Storage,Photovoltaic,,Battery,Solar,,110.04,110.04,,100.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Roadway Substation 115kV bus,12/31/2020,2/3/2025,,,Complete,Complete,,Executed,Roadway,Roadway,34.57613889,-117.4131611,6.0,71.0,211.68716429088727,0,0.1303699367305233,0.1214225510970185,BALDY MESA : Roadway Substation 115kV bus,SCE 115kV,0.0022583185878892473,3939,56,1733
CAMINO SOLAR,1419,4/27/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,44.88,13.4,,54.28,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,8/15/2020,3/1/2024,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,2577.972988356092,0,0.0453243202783785,0.0205694842514983,CAMINO SOLAR : Whirlwind Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
EDSAN 2,1424,4/28/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,357.0,196.0,,500.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Windhub Substation 230kV,12/31/2020,8/17/2023,,,Complete,Complete,,Executed,Windhub,Windhub,35.03484956,-118.2806898,6.0,29.0,1759.915604060414,1,1.0502584294611754,0.0157319769305161,EDSAN 2 : Windhub Substation 230kV,SCE 500kV,0.10357645386999763,11916,87,1549
