Project Name,Queue Position,Interconnection Request Receive Date,Application Status,Study Process,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,MWh-1,MWh-2,MWh-3,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,Proposed On-line Date (as filed with IR),Current On-line Date,Suspension Status,Feasibility Study or Supplemental Review,System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),Interconnection Agreement Status,clean substation name,Best GIS Substation Match,GIS Lat,GIS Long,STATEFP,COUNTYFP,Transmission Capacity,Permit Status,Retired Plant Inverse Distance,Future Transmission Inverse Distance
PROXIMA SOLAR,1244,4/30/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,189.74,162,,300.0,,,,Partial Capacity,,Off-Peak Deliverability,,stanislaus,CA,PGAE,Fresno,Fink 230 kV,3/10/2020,4/9/2024,,NA,Complete,Complete,NA,Executed,,,37.601492661924084,-120.94738790846377,6,99,1617.464894843105,0,0.06790748095076929,0.04958433731395796
NORTHERN ORCHARD SOLAR 2,1259,4/27/2016,ACTIVE,C09,Photovoltaic,,,Solar,,,133.6,,,50.0,,,,Energy Only,,Off-Peak Deliverability,Group B,kern,CA,PGAE,Kern,Midway-Wheeler Ridge #2 230 kV Line,12/16/2020,3/31/2024,,NA,Complete,Complete,NA,In Progress,,,35.347822384026706,-118.96322459588497,6,29,946.8145462410633,1,0.12374739914497561,0.08422657537111089
NORTHERN ORCHARD SOLAR 3,1260,4/27/2016,ACTIVE,C09,Photovoltaic,,,Solar,,,102,,,100.0,,,,Energy Only,,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Midway-Wheeler Ridge #2 230 kV Line,10/14/2020,10/1/2027,,NA,Complete,Complete,NA,In Progress,,,35.36935119525668,-118.96181176577312,6,29,332.8902719059096,0,0.1757045493560462,0.10440919038164102
CORBY,1270,4/27/2016,ACTIVE,C09,Storage,,,Battery,,,313.5,,,300.0,,,,Full Capacity,,,,solano,CA,PGAE,Northern,Vaca-Dixon 230 kV,12/1/2020,3/29/2024,,NA,Complete,Complete,NA,Executed,,,38.21297347200184,-122.05559472256347,6,95,2474.9214551379378,0,0.0506462799290919,0.05277298740999007
CASCADE ENERGY STORAGE,1272,5/2/2016,ACTIVE,C09,Storage,,,Battery,,,25.2,,,25.0,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Weber 60 kV,5/31/2018,12/1/2022,,NA,Complete,Complete,NA,Executed,,,37.93500137238733,-121.32119390442713,6,77,1025.7023031316044,1,1.0524592563780002,0.13708689807389035
KOLA,1275,4/26/2016,ACTIVE,C09,Storage,,,Battery,,,418,,,418.0,,,,Full Capacity,,,,alameda,CA,PGAE,Northern,Tesla 230 kV,12/1/2020,4/1/2025,,NA,Complete,Complete,NA,Executed,,,37.693684007583705,-122.08826735679341,6,1,1031.961638947278,1,0.04271267070819471,0.12459123399462642
MULQUEENEY RANCH WIND,1277,5/2/2016,ACTIVE,C09,Wind Turbine,,,Wind Turbine,,,114,,,20.0,,,,Full Capacity,,Off-Peak Deliverability,,alameda,CA,PGAE,Northern,Tesla 230 kV,3/1/2020,11/30/2024,,NA,Complete,Complete,NA,Executed,,,37.71970555572824,-122.08901741481257,6,1,2719.3145959923745,0,0.03953409020466969,0.09260381106384499
MARVEL,1295,4/26/2016,ACTIVE,C09,Storage,,,Battery,,,405.85,,,400.0,,,,Full Capacity,,,,riverside,CA,SCE,Eastern,Devers Substation 230kV,4/1/2022,9/26/2023,,NA,Complete,Complete,NA,Executed,Devers,Devers,33.93691612,-116.5773269,6,65,638.6513253928326,0,1.1957785203972955,
SOL CATCHER BESS,1302,5/3/2016,ACTIVE,C09,Storage,Photovoltaic,,Battery,Solar,,121,213.5,,213.5,,,,Partial Capacity,,Off-Peak Energy Only,,riverside,CA,SCE,Eastern,Red Bluff 220 kV,5/31/2019,3/1/2024,,NA,Complete,Complete,NA,Executed,,,33.80911362392442,-117.06689339454446,6,65,2065.0498823909757,1,0.08130407313575913,0.030297540607802095
DAGGETT SOLAR 1,1312,4/28/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,148.96,118.5,,144.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Coolwater Substation 115kV,6/30/2020,12/15/2024,,NA,Complete,Complete,NA,Executed,Cool Water,Cool Water,34.86311202,-116.854207,6,71,1204.2787484066364,1,2.8986517529841187,
DAGGETT SOLAR 2,1313,4/28/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,188.86,126,,182.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Kramer Substation 230kV,6/30/2020,8/6/2023,,NA,Complete,Complete,NA,Executed,Kramer,Kramer,34.98947998,-117.542396,6,71,2154.988812267666,1,0.44130358090449273,0.017957980691558077
DAGGETT SOLAR 3,1314,4/28/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,313.88,208,,300.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Kramer Substation 230kV,6/30/2020,8/6/2023,,NA,Complete,Complete,NA,Executed,Kramer,Kramer,34.98947998,-117.542396,6,71,453.3588064577458,0,0.44130358090449273,0.017957980691558077
WILLY 9,1319,4/25/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,259.842,250,,250.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,12/31/2020,3/18/2024,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,987.9437355352123,0,0.04532432027837859,0.020569484251498363
SOLAR STAR 3,1322,4/25/2016,ACTIVE,C09,Storage,Photovoltaic,,Battery,Solar,,24.95,25,,24.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,12/31/2021,11/30/2024,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,416.26041763038165,0,0.04532432027837859,0.020569484251498363
SOLAR STAR 4,1323,4/25/2016,ACTIVE,C09,Storage,Photovoltaic,,Battery,Solar,,24.95,25.05,,24.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,12/31/2021,11/30/2024,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,833.1598619144759,1,0.04532432027837859,0.020569484251498363
EDSAN 1,1324,4/27/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,118,266,,300.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Windhub Substation 230kV,12/31/2019,8/17/2023,,NA,Complete,Complete,NA,Executed,Windhub,Windhub,35.03484956,-118.2806898,6,29,2567.7770305677977,0,1.0502584294611754,0.01573197693051613
SAGEBRUSH SOLAR 2,1325,4/27/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,1,199,,179.0,,,,Partial Capacity,90,Off-Peak Deliverability,Group A,kern,CA,SCE,Northern,Vincent Substation 230kV,12/31/2019,7/1/2024,,NA,Complete,Complete,NA,Executed,Vincent,Vincent,34.48596597,-118.1184808,6,29,2457.325782150205,0,0.03656127071827804,0.023316840873773073
CYCLONE SOLAR,1327,4/29/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,57.95,52,,56.87,,,,Partial Capacity,51.24,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,7/1/2019,11/1/2024,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,1101.7292869212015,1,0.04532432027837859,0.020569484251498363
PASTORIA SOLAR,1335,5/2/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,106.875,80,,105.2,,,,Partial Capacity,77,Off-Peak Deliverability,,kern,CA,SCE,Northern,Pastoria Substation 230kV,9/1/2019,10/1/2024,,NA,Complete,Complete,NA,Executed,Pastoria,Pastoria,34.93527777,-118.8431278,6,29,640.3835467790743,0,0.02261127966892473,0.047804099841616314
ARAMIS POWER PLANT,1349,4/28/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,101.4,101.3,,100.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2,alameda,CA,PGAE,Northern,Cayetano 230 kV,12/31/2020,12/31/2025,,NA,Complete,Complete,NA,Executed,,,37.691461822064916,-122.08077469246565,6,1,376.15848188291636,1,0.04272846527946203,0.12457410722070085
PAULSELL SOLAR ENERGY CENTER,1350,5/1/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,20,20,,20.0,,,,Partial Capacity,70,Off-Peak Deliverability,,stanislaus,CA,PGAE,Northern,Crow Creek 60 kV,12/31/2019,5/10/2024,,NA,Complete,Complete,NA,Executed,,,37.61769680929514,-120.97583871499164,6,99,346.15658130121165,1,0.05696277156849316,0.04857645588517971
SAND HILL C,1363,4/29/2017,ACTIVE,C10,Wind Turbine,,,Wind Turbine,,,84.25,,,80.8,,,,Full Capacity,,Off-Peak Deliverability,,alameda,CA,PGAE,Northern,Delta Switching Yard-Tesla 230 kV Line,12/31/2019,4/28/2025,,NA,Complete,Complete,NA,Executed,,,37.68866862366068,-122.10375441992386,6,1,2560.980557955602,1,0.04450552835334447,0.13964712609758229
WEST FORD FLAT ENERGY STORAGE,1367,4/28/2017,ACTIVE,C10,Storage,,,Battery,,,26.25,,,25.0,,,,Full Capacity,,,,lake,CA,PGAE,Northern,Fulton 230 kV,1/1/2020,3/15/2024,,NA,Complete,Complete,NA,Executed,,,38.95834810780932,-122.72530177441102,6,33,1548.5379392408297,1,0.05438353075296911,0.06417384846456022
GONZAGA WIND FARM,1378,4/27/2017,ACTIVE,C10,Wind Turbine,Storage,,Wind Turbine,Battery,,80,50,,76.35,,,,Full Capacity,,Off-Peak Deliverability,Group 2,merced,CA,PGAE,Fresno,Los Banos 70 kV,10/9/2020,10/16/2023,,NA,Complete,Complete,NA,Executed,,,37.28402496158725,-120.6222810999427,6,47,210.13719934869454,0,0.11568980445187381,0.05247092317109984
HEARTLAND 1,1379,4/26/2017,ACTIVE,C10,Photovoltaic,,,Solar,,,156.04,,,150.0,,,,Energy Only,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Tranquility 230 kV,9/1/2021,6/30/2028,,NA,Complete,Complete,NA,Executed,,,36.76072984781677,-119.79028688902686,6,19,1103.4524930637049,1,0.017838100685508836,0.066663527511152
HEARTLAND 2,1380,4/26/2017,ACTIVE,C10,Photovoltaic,,,Solar,,,156.05,,,150.0,,,,Energy Only,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Tranquility 230 kV,9/1/2021,6/30/2028,,NA,Complete,Complete,NA,Executed,,,36.753612593951765,-119.75168889620439,6,19,202.76390718159325,0,0.018314532208076478,0.05679992607131944
LAS CAMAS 1,1382,4/29/2017,ACTIVE,C10,Photovoltaic,,,Solar,,,102.5,,,100.0,,,,Full Capacity,,Off-Peak Energy Only,Group D,merced,CA,PGAE,Fresno,Los Banos 230 kV,11/30/2021,5/7/2025,,NA,Complete,Complete,NA,Executed,,,37.282358723483526,-120.60682190338196,6,47,2450.0907364990976,1,0.11080390453434721,0.056481740131215354
REDUX SOLAR,1389,5/1/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,128.24,30,,125.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2b,fresno,CA,PGAE,Fresno,Gates 230 kV,12/30/2020,12/15/2024,,NA,Complete,Complete,NA,Executed,,,36.720159223536044,-119.77502549603162,6,19,2903.6128007528987,1,0.019470962409799064,0.052452238260490176
SONRISA,1391,4/29/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,205.1,184,,200.0,,,,Partial Capacity,46,Off-Peak Deliverability,Group 1,fresno,CA,PGAE,Fresno,Tranquility 230 kV,11/30/2021,12/31/2025,,NA,Complete,Complete,NA,Executed,,,36.76725475825805,-119.77289350258286,6,19,982.9573210125899,0,0.017718001772719597,0.06315251914970632
DRIFTWOOD STELLA,1394,4/29/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,207.4,184,,200.0,,,,Energy Only,,Off-Peak Deliverability,Group D,kern,CA,PGAE,Kern,Midway 115 kV,11/30/2021,11/1/2026,,NA,Complete,Complete,NA,Executed,,,35.390096737272074,-118.93145190565394,6,29,705.1736081948038,0,0.22155856645886493,0.11445025425703455
SANDRINI SOL 1,1397,4/29/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,104.16,92,,100.0,,,,Partial Capacity,62,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Wheeler Ridge 70 kV,11/30/2021,12/31/2025,,NA,Complete,Complete,NA,Executed,,,35.37658509795232,-118.94079102536531,6,29,1470.044034501688,1,0.18752671645757577,0.10479958582313414
SANDRINI SOL 2,1398,4/29/2017,ACTIVE,C10,Photovoltaic,,,Solar,,,205.1,,,200.0,,,,Full Capacity,,Off-Peak Deliverability,Group 1,kern,CA,PGAE,Kern,Wheeler Ridge 230 kV,11/30/2021,7/15/2024,,NA,Complete,Complete,NA,Executed,,,35.38562681920978,-118.96369753931309,6,29,2090.6103929776386,0,0.2579213427249275,0.12827194722361923
ATHOS POWER PLANT,1405,4/28/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,458,450,,450.0,,,,Partial Capacity,10.6,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,12/31/2020,5/1/2025,,NA,Complete,Complete,NA,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,624.67559026146,0,0.03521596681254858,
BALDY MESA,1413,4/29/2017,ACTIVE,C10,Storage,Photovoltaic,,Battery,Solar,,110.04,110.04,,100.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Roadway Substation 115kV bus,12/31/2020,2/3/2025,,NA,Complete,Complete,NA,Executed,Roadway,Roadway,34.57613889,-117.4131611,6,71,211.68716429088727,0,0.13036993673052333,0.12142255109701858
CAMINO SOLAR,1419,4/27/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,44.88,13.4,,54.28,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,8/15/2020,3/1/2024,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,2577.972988356092,0,0.04532432027837859,0.020569484251498363
EDSAN 2,1424,4/28/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,357,196,,500.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Windhub Substation 230kV,12/31/2020,8/17/2023,,NA,Complete,Complete,NA,Executed,Windhub,Windhub,35.03484956,-118.2806898,6,29,1759.915604060414,1,1.0502584294611754,0.01573197693051613
MOUNT LAGUNA WIND 2,1429,4/28/2017,ACTIVE,C10,Wind Turbine,,,Wind Turbine,,,400,,,400.0,,,,Energy Only,,Off-Peak Deliverability,,san diego,CA,SDGE,,Suncrest - Ocotillo 500 kV Line,6/1/2020,8/1/2028,,NA,Complete,Complete,NA,Executed,,,32.90413656415327,-117.10426525301503,6,73,855.1942418336547,1,0.1522450772901553,0.042459463487520874
STARLIGHT SOLAR,1432,5/1/2017,ACTIVE,C10,Photovoltaic,Storage,,Solar,Battery,,20,17.4,,20.0,,,,Partial Capacity,87,Off-Peak Deliverability,,san diego,CA,SDGE,None,Boulevard East Substation 69 kV,6/1/2020,4/30/2025,,NA,Complete,Complete,NA,Executed,Boulevard East,,32.897057617332074,-117.10751802924588,6,73,561.6302852441902,1,0.16792459719878383,0.04399882510796509
AJO POWER BANK,1442,4/5/2018,ACTIVE,C11,Storage,,,Battery,,,124.3,,,120.0,,,,Full Capacity,,,,santa clara,CA,PGAE,Northern,Llagas-Gilroy Foods 115 kV line,12/1/2020,1/1/2028,,NA,Complete,Complete,NA,Executed,,,37.333939085136834,-121.92044984280977,6,85,480.73252127160134,1,0.6118214199788753,0.10210749218804849
ANGELA,1443,4/13/2018,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,40,20,,40.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2a,tulare,CA,PGAE,Kern,Olive 115 kV,11/30/2021,12/30/2024,,NA,Complete,Complete,NA,Executed,,,36.23418114625729,-119.219502143834,6,107,2883.1902285057513,1,0.02586635066675695,0.022997278062563516
SALOON ENERGY STORAGE,1444,4/4/2018,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,150,150,,150.0,,,,Partial Capacity,92,Off-Peak Deliverability,,colusa,CA,PGAE,Northern,Cortina 115 kV,12/1/2022,5/1/2026,,NA,Complete,Complete,NA,Executed,,,39.136335567618964,-122.10008511750505,6,11,594.558135588539,0,0.027474703306243606,0.09280511101787388
HUMMINGBIRD ENERGY STORAGE,1454,4/9/2018,ACTIVE,C11,Storage,,,Battery,,,75,,,75.0,,,,Full Capacity,,,Group 1a,santa clara,CA,PGAE,Northern,Metcalf 115 kV,12/31/2020,5/1/2023,,NA,Complete,Complete,NA,Executed,,,37.30842313797603,-121.89214439459683,6,85,2179.0559837390556,1,0.4620867158215528,0.11183099916578207
JANUS,1455,4/12/2018,ACTIVE,C11,Storage,Photovoltaic,,Battery,Solar,,80,83.54,,80.0,,,,Full Capacity,,Off-Peak Deliverability,,colusa,CA,PGAE,Northern,Cortina 60 kV,12/31/2021,2/1/2024,,NA,Complete,Complete,NA,Executed,,,39.16020769038203,-122.10148738052844,6,11,1339.8976304187427,1,0.02682743737806726,0.08774641840795445
LAS CAMAS 3,1456,4/10/2018,ACTIVE,C11,Photovoltaic,,,Solar,,,102.5,,,100.0,,,,Full Capacity,,Off-Peak Energy Only,Group D,merced,CA,PGAE,Fresno,Los Banos 230 kV,11/30/2022,2/7/2025,,NA,Complete,Complete,NA,Executed,,,37.253686068364985,-120.62434349643353,6,47,2829.2143038361414,0,0.08330684120427315,0.050718268920288787
MILPA POWER BANK,1457,4/9/2018,ACTIVE,C11,Storage,,,Battery,,,3,,,3.0,,,,Full Capacity,,,,santa clara,CA,PGAE,Northern,Los Esteros 115 kV,12/1/2020,4/29/2025,,NA,Complete,Complete,NA,,,,37.303046590736116,-121.88791929998362,6,85,1045.791347586096,0,0.3633177943859102,0.11315707893588682
MULQUEENEY RANCH WIND 2,1459,4/12/2018,ACTIVE,C11,Wind Turbine,,,Wind Turbine,,,62.5,,,60.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2b,alameda,CA,PGAE,Northern,Tesla 230 kV,12/15/2021,11/30/2024,,NA,Complete,Complete,NA,Executed,,,37.70130507570262,-122.10707645844217,6,1,500.7809934790071,1,0.04211047840570204,0.1174058754365474
RECLAIMED WIND,1461,4/4/2018,ACTIVE,C11,Wind Turbine,,,Wind Turbine,,,112.2,,,90.7,,,,Partial Capacity,53,Off-Peak Deliverability,Group 3,alameda,CA,PGAE,Northern,Kelso-Tesla Tap 230 kV,12/31/2020,4/4/2025,,NA,Complete,Complete,NA,Executed,,,37.683741459563656,-122.12251638099227,6,1,508.9353144774519,0,0.04644310478358794,0.15281862551797779
SOLANO 4 WIND,1463,4/4/2018,ACTIVE,C11,Wind Turbine,,,Wind Turbine,,,92.354,,,90.8,,,,Full Capacity,,Off-Peak Deliverability,Group 1,solano,CA,PGAE,Northern,Birds Landing 230 kV,3/31/2023,4/30/2025,,NA,Complete,Complete,NA,Executed,,,38.21382126922368,-122.05672967241077,6,95,469.72449172972216,0,0.05097366796359979,0.05309884772318225
CABALLERO STORAGE,1470,4/13/2018,ACTIVE,C11,Storage,,,Battery,,,106.2,,,99.7,,,,Full Capacity,,,Group 2a,san luis obispo,CA,PGAE,Kern,Mesa 230 kV,12/1/2021,5/15/2024,,NA,Complete,Complete,NA,Executed,,,35.3633051336519,-120.64422958977467,6,79,2978.661184164947,1,0.05177577302837706,0.014888908746383189
KEY STORAGE 1,1479,4/11/2018,ACTIVE,C11,Storage,,,Battery,,,309.3,,,300.1,,,,Full Capacity,,,Group 3,fresno,CA,PGAE,Fresno,Gates 500 kV,12/1/2022,10/1/2025,,NA,Complete,Complete,NA,Executed,,,36.73330454080019,-119.76618496611354,6,19,2525.4200713898117,1,0.019003721702103113,0.05373424945394604
PANOCHE ENERGY CENTER C11,1484,4/10/2018,ACTIVE,C11,Gas Turbine,,,Natural Gas,,,63,,,63.0,,,,Partial Capacity,41,,,fresno,CA,PGAE,Fresno,Panoche 230 kV,7/1/2020,6/30/2022,,NA,Complete,Complete,NA,,,,36.76255916903943,-119.74997553615975,6,19,1387.2106929642403,0,0.01799956998054165,0.06006856705405982
TEPONA OFF-SHORE WIND,1491,4/14/2018,ACTIVE,C11,Wind Turbine,,,Wind Turbine,,,161.925,,,156.0,,,,Energy Only,,Off-Peak Energy Only,Group 3,humboldt,CA,PGAE,Northern,Humboldt 115 kV,10/1/2024,3/1/2026,,NA,Complete,Complete,NA,,,,40.77251628139403,-124.07481902028648,6,23,1454.8194471081845,1,0.09335206134448448,0.059016642590011645
AZALEA,1493,4/16/2018,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,61.3,38,,60.0,,,,Partial Capacity,92,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Arco 70 kV,11/1/2022,3/9/2025,,NA,Complete,Complete,NA,Executed,,,35.3448957247661,-118.93892716035904,6,29,396.73302572191943,1,0.11469782901243289,0.07800775287269289
CHALAN SOLAR,1495,4/13/2018,ACTIVE,C11,Storage,Photovoltaic,,Battery,Solar,,25.2,66.6,,64.9,,,,Full Capacity,,Off-Peak Deliverability,Group 1a,kern,CA,PGAE,Kern,Arco 230 kV,12/1/2021,9/30/2024,,NA,Complete,Complete,NA,Executed,,,35.352013215740186,-118.93005899934778,6,29,2358.034041870767,1,0.1215340382849506,0.08052829509825274
DESCENDANT RANCH 1,1496,4/11/2018,ACTIVE,C11,Storage,Photovoltaic,,Battery,Solar,,510,513.5,,500.0,,,,Partial Capacity,9.6,Off-Peak Deliverability,Group 1b,colusa,CA,PGAE,Northern,Delevan 230 kV,12/1/2023,6/21/2025,,NA,Complete,Complete,NA,Executed,,,39.13599957882321,-122.06999298527755,6,11,2478.830469663447,1,0.02951302381688685,0.07497305946926035
JASMINE,1499,4/16/2018,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,71.161,70,,70.0,,,,Partial Capacity,92,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Lakeview 70 kV,11/1/2022,8/31/2026,,NA,Complete,Complete,NA,Executed,,,35.39331385630494,-118.9473733472049,6,29,2477.589110706263,1,0.2945051194454519,0.131093686771197
PROSPECT ENERGY STORAGE,1507,4/16/2018,ACTIVE,C11,Storage,,,Battery,,,58.75,,,49.9,,,,Full Capacity,,,Group 1,sacramento,CA,PGAE,Northern,Gold Hill 60 kV,6/1/2022,3/31/2026,Suspended,NA,Complete,Complete,NA,Executed,,,38.58857014237136,-121.3806904186848,6,67,496.9399185960497,0,0.13328462525352072,0.15332044627516256
BELLEFIELD SOLAR FARM,1510,4/16/2018,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,500,500,,500.0,,,,Full Capacity,,Off-Peak Deliverability,Group 3,kern,CA,SCE,Northern,Windhub Substation 230kV,10/1/2022,10/2/2024,,NA,Complete,Complete,NA,Executed,Windhub,Windhub,35.03484956,-118.2806898,6,29,1677.9800543399058,1,1.0502584294611754,0.01573197693051613
REXFORD SOLAR FARM,1516,4/16/2018,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,300,240,,300.0,,,,Full Capacity,,Off-Peak Deliverability,Group 3,tulare,CA,SCE,Northern,Vestal Substation 230kV,10/1/2022,9/1/2024,,NA,Complete,Complete,NA,Executed,Vestal,Vestal,35.8417435,-119.085048,6,107,1891.6473452087716,1,0.08655669349842846,0.02265335355160122
SANBORN SOLAR 2,1518,4/13/2018,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,236,382,,500.0,,,,Partial Capacity,63.56,Off-Peak Deliverability,,kern,CA,SCE,Northern,Windhub Substation 230kV,12/31/2022,12/1/2023,,NA,Complete,Complete,NA,Executed,Windhub,Windhub,35.03484956,-118.2806898,6,29,421.3814721162903,0,1.0502584294611754,0.01573197693051613
BALDY MESA 2,1519,4/15/2018,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,110.88,49.9,,100.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2,san bernardino,CA,SCE,NOL,Roadway Substation 115kV,12/15/2021,2/3/2025,,NA,Complete,Complete,NA,Executed,Roadway,Roadway,34.57613889,-117.4131611,6,71,2785.6987685995036,1,0.13036993673052333,0.12142255109701858
QUARTZITE SOLAR 11,1526,4/11/2018,ACTIVE,C11,Storage,Photovoltaic,,Battery,Solar,,75,155.43,,150.0,,,,Full Capacity,,Off-Peak Deliverability,Group 2,riverside,CA,SCE,Eastern,Colorado River Substation 230kV,12/30/2022,12/21/2024,,NA,Complete,Complete,NA,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6,65,1437.4431877581599,0,0.010618442225589738,
WINDY WASH SOLAR,1528,4/13/2018,ACTIVE,C11,Photovoltaic,,,Solar,,,79,,,79.0,,,,Energy Only,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Devers Substation 220kV,6/30/2021,12/31/2022,,NA,Complete,Complete,NA,,Devers,Devers,33.93691612,-116.5773269,6,65,1986.9737151062222,0,1.1957785203972955,
BATERIA DEL SUR,1531,4/16/2018,ACTIVE,C11,Storage,,,Battery,,,350,,,350.0,,,,Partial Capacity,37,,Group 3,imperial,CA,SDGE,,Imperial Valley Substation 230 kV,5/1/2022,12/31/2024,,NA,Complete,Complete,NA,Executed,Imperial Valley,Imperial Valley,32.85615594,-115.5637445,6,25,2401.193654365824,1,0.13998865999372342,
KETTLE SOLAR ONE,1532,4/16/2018,ACTIVE,C11,Photovoltaic,Storage,,Solar,Battery,,90,90,,90.0,,,,Full Capacity,,Off-Peak Deliverability,,san diego,CA,SDGE,,Carrizo Gorge Switchyard 138 kV,12/1/2020,10/31/2026,,NA,Complete,Complete,NA,Executed,,,32.87993579246564,-117.12224399870516,6,73,1161.5687519315018,0,0.2418991983413117,0.0483777355473235
IRVING STORAGE,1539,3/5/2019,ACTIVE,ISP,Storage,,,Battery,,,782.79,,,750.0,,,,Full Capacity,,,,monterey,CA,PGAE,Northern,Moss Landing 500 kV,12/1/2022,11/30/2025,,NA,Complete,Complete,NA,Executed,,,36.61747908033892,-121.63943779434476,6,53,2692.1267625997084,1,0.07351243604136885,0.13729700052625246
TANAGER STORAGE,1550,4/2/2019,ACTIVE,C12,Storage,,,Battery,,,200,,,200.0,,,,Full Capacity,,,Group 2,santa clara,CA,PGAE,Northern,Los Esteros 230 kV,6/30/2023,4/1/2025,,NA,Complete,Complete,NA,Executed,,,37.31781883681619,-121.9122669641035,6,85,1553.4917406517004,0,0.4348899615402459,0.1165911816668369
CORMORANT STORAGE,1552,4/2/2019,ACTIVE,C12,Storage,,,Battery,,,250,,,250.0,,,,Full Capacity,,,Group 2,san francisco,CA,PGAE,Northern,Martin 115 kV,6/30/2023,3/14/2025,,NA,Complete,Complete,NA,Executed,,,37.74560837763444,-122.42475096264565,6,75,2588.250105498229,1,0.25246713860053616,0.2057005987665757
